authorDisplayName,textDisplay,textDisplayAdj,scores,neg_score,pos_score,neu_score,compound_score,sentiment,publishedAt
@vrika4280,"I just finished the quest, and both this and Jinhsi&#39;s, improved so much over Yinlin&#39;s imo, awesome work! Glad this game exists and hope you continue to have great success!",finished quest jinhsi improved much yinlin imo awesome work glad game exists hope continue great success,"{'neg': 0.0, 'neu': 0.528, 'pos': 0.472, 'compound': 0.9701}",0.0,0.472,0.528,0.9701,positive,2024-08-14T08:18:31Z
@prevailege,I really like her design! It&#39;s just PERFECT!!,really like design perfect,"{'neg': 0.0, 'neu': 0.425, 'pos': 0.575, 'compound': 0.8443}",0.0,0.575,0.425,0.8443,positive,2024-08-13T01:16:21Z
@Ew-wth,"Look at the replay amounts for each scene, lol. Just saying.",look replay amount scene lol saying,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",0.0,0.219,0.781,0.4215,positive,2024-08-12T06:51:42Z
@S.k.Editor-14,BRO I CAN&#39;T THE HAND MOMENT 😭✋🏻💦,bro hand moment,"{'neg': 0.133, 'neu': 0.56, 'pos': 0.307, 'compound': 0.6166}",0.133,0.307,0.56,0.6166,positive,2024-08-11T19:42:25Z
@CrimRui,I love it! Great stuff.,love great stuff,"{'neg': 0.0, 'neu': 0.259, 'pos': 0.741, 'compound': 0.8622}",0.0,0.741,0.259,0.8622,positive,2024-08-09T19:33:09Z
@jeamel2474,Yoooow! Absolute Cinema!,yow absolute cinema,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-08-09T10:08:48Z
@MrAdrocatis,Is it just me or i feel like changli master that created that realm look like to me make a good premis villain story.<br><br>Trust me. A villain that create a greate sceme such as that and call it a test and dangerous to. With reasonable reason is really example what villain will do 😭. I deny that master has a good heart and straght mind,feel like changli master created realm look like make good premis villain story trust villain create greate sceme call test dangerous reasonable reason really example villain deny master good heart straght mind,"{'neg': 0.212, 'neu': 0.582, 'pos': 0.206, 'compound': -0.3744}",0.212,0.206,0.582,-0.3744,negative,2024-08-09T05:48:23Z
@MagisterialVoyager,The way this tears me up. 😢😢😢❤,way tear,"{'neg': 0.464, 'neu': 0.365, 'pos': 0.171, 'compound': -0.7371}",0.464,0.171,0.365,-0.7371,negative,2024-08-08T15:52:01Z
@ZERO-ms9ql,Anyway they wuthering waves developers i already complete all main quests and side quest.  I dont find anything find TO do 😅.,anyway wuthering wave developer already complete main quest side quest dont find anything find,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.3612}",0.0,0.094,0.906,0.3612,positive,2024-08-06T22:21:46Z
@_aquamarina9308,Suprised they put both male/female main character in the same video 😍😍,suprised put male female main character video,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.7184}",0.0,0.261,0.739,0.7184,positive,2024-08-06T12:41:36Z
@TJ-rf3iu,Awesome quest! Keep it up Kuro you guys are killing it,awesome quest keep kuro guy killing,"{'neg': 0.264, 'neu': 0.506, 'pos': 0.23, 'compound': -0.1511}",0.264,0.23,0.506,-0.1511,negative,2024-08-06T01:53:32Z
@indream-,She have hots for Rover and I&#39;m all for it.,hots rover,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-08-05T12:14:12Z
@sara-plbin_01,Changli pls come home,changli pls come home,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.0772}",0.0,0.302,0.698,0.0772,positive,2024-08-05T01:10:35Z
@GachaVS-t9j,Genshin Impact Character Demo - &quot;Emilie: Iridescent Trail&quot;<br><br>Views(3 days): 698k<br>Likes(3 days): 52k,genshin impact character demo emilie iridescent trail view day klikes day k,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-08-04T02:31:53Z
@Z-FishInMyBreakfast,What does this even mean,even mean,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-08-11T13:05:59Z
@v.emiltheii-nd.8094,This cutscene. It&#39;s Hideo Kojima approved.,cutscene hideo kojima approved,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}",0.0,0.359,0.641,0.4215,positive,2024-08-03T08:08:27Z
@HaiTi3n,"<a href=""https://www.youtube.com/watch?v=gA0Z1qd0ymQ&amp;t=208"">3:28</a> Nooo, Changli will be pregnant 😭",changli pregnant,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}",0.256,0.0,0.744,-0.4767,negative,2024-08-02T17:22:01Z
@Taobakoinay-h7k,"There are a lot of ppl who skipped this quest coz they lost 50/50 to changli, the only thing in their mind is &quot;I need more asterite!!!&quot; 😂😂😂",lot ppl skipped quest coz lost changli thing mind need asterite,"{'neg': 0.145, 'neu': 0.633, 'pos': 0.222, 'compound': 0.8061}",0.145,0.222,0.633,0.8061,positive,2024-07-31T03:48:50Z
@ravepoltangkawanich5463,The most amazing song <br>I would like to know the origin of the song.,amazing song would like know origin song,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.7645}",0.0,0.355,0.645,0.7645,positive,2024-07-31T03:25:55Z
@ZakyZulkifli,"They make the model of child version of changli for 1 story quest, and there&#39;s still someone out there defending hoyo for not making itto buffer or create other body type for the playable character",make model child version changli story quest still someone defending hoyo making itto buffer create body type playable character,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.2732}",0.0,0.058,0.942,0.2732,positive,2024-07-30T14:51:35Z
@EzioIV,Changli Story Quest is extremely amazing. Much better story telling than in 1.0. i loved how kuro has improved so much and i hope for future story its gonna be even better!! And what i Love the most was the section with smol Changli. Shes just too precious..,changli story quest extremely amazing much better story telling loved kuro improved much hope future story gon na even better love section smol changli shes precious,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.9827}",0.0,0.416,0.584,0.9827,positive,2024-07-30T14:12:57Z
@MohammadAlomar-q7n,When can we play wuthering waves on ps4,play wuthering wave p,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.34}",0.0,0.255,0.745,0.34,positive,2024-07-29T19:57:46Z
@callmefizz2175,"Before, i liked Changli because of her beauty but now i love because of her personality 😍. Damn.... What a great story👏👏",liked changli beauty love personality damn great story,"{'neg': 0.077, 'neu': 0.497, 'pos': 0.427, 'compound': 0.9531}",0.077,0.427,0.497,0.9531,positive,2024-07-29T18:17:31Z
@Taobakoinay-h7k,I wonder what would be Danjin&#39;s story would be like. Would be interesting to have Danjin story since she is looking for revenge coz her entire family were killed by bandits. I hope we can have 4 stars and standard 5 stars companion quests. Especially jianxin which was like a wild beast living in the forest by herself and was picked up by a martial artist.,wonder would danjin story would like would interesting danjin story since looking revenge coz entire family killed bandit hope star standard star companion quest especially jianxin like wild beast living forest picked martial artist,"{'neg': 0.101, 'neu': 0.764, 'pos': 0.135, 'compound': 0.1779}",0.101,0.135,0.764,0.1779,positive,2024-07-29T17:45:58Z
